what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1366860165277
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1366860165277
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1366860165278
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1366860165278
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,"org.eclipse.pde.ui",1366860165280
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,"org.eclipse.team.cvs.core",1366860165281
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,"org.eclipse.team.cvs.ui",1366860165282
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,"org.eclipse.ui.views.log",1366860165282
os,sysinfo,,,"win32",1366860165285
arch,sysinfo,,,"x86",1366860165285
ws,sysinfo,,,"win32",1366860165285
locale,sysinfo,,,"zh_CN",1366860165285
processors,sysinfo,,,"4",1366860165285
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366860165285
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1366860165285
java.specification.name,sysinfo,,,"Java Platform API Specification",1366860165285
java.specification.vendor,sysinfo,,,"Oracle Corporation",1366860165285
java.specification.version,sysinfo,,,"1.7",1366860165285
java.vendor,sysinfo,,,"Oracle Corporation",1366860165285
java.version,sysinfo,,,"1.7.0_13",1366860165285
java.vm.info,sysinfo,,,"mixed mode, sharing",1366860165285
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1366860165285
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366860165285
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1366860165285
java.vm.specification.version,sysinfo,,,"1.7",1366860165285
